threshold,country,fscore,tp,fp,fn,sensitivity,recall,precision,one_minus_sens
0.0,argentina,0.7870370370370371,34.0,42.0,1.0,0.9714285714285714,0.9714285714285714,0.4473684210526316,0.02857142857142858
0.0,bolivia,0.29914529914529914,7.0,82.0,0.0,1.0,1.0,0.07865168539325842,0.0
0.0,brazil,0.7518796992481203,40.0,66.0,0.0,1.0,1.0,0.37735849056603776,0.0
0.0,chile,0.04629629629629629,1.0,103.0,0.0,1.0,1.0,0.009615384615384616,0.0
0.0,colombia,0.29411764705882354,8.0,96.0,0.0,1.0,1.0,0.07692307692307693,0.0
1.282,argentina,0.7971014492753623,11.0,10.0,1.0,0.9166666666666666,0.9166666666666666,0.5238095238095238,0.08333333333333337
1.282,bolivia,0.5454545454545454,6.0,25.0,0.0,1.0,1.0,0.1935483870967742,0.0
1.282,brazil,0.7619047619047619,16.0,25.0,0.0,1.0,1.0,0.3902439024390244,0.0
1.282,chile,0.0,0.0,33.0,1.0,0.0,0.0,0.0,1.0
1.282,colombia,0.2631578947368421,2.0,28.0,0.0,1.0,1.0,0.06666666666666667,0.0
1.44,argentina,0.8088235294117647,11.0,9.0,1.0,0.9166666666666666,0.9166666666666666,0.55,0.08333333333333337
1.44,bolivia,0.6521739130434783,6.0,16.0,0.0,1.0,1.0,0.2727272727272727,0.0
1.44,brazil,0.7142857142857143,10.0,20.0,0.0,1.0,1.0,0.3333333333333333,0.0
1.44,chile,0.0,0.0,25.0,1.0,0.0,0.0,0.0,1.0
1.44,colombia,0.29411764705882354,2.0,24.0,0.0,1.0,1.0,0.07692307692307693,0.0
1.645,argentina,0.8035714285714286,9.0,7.0,1.0,0.9,0.9,0.5625,0.09999999999999998
1.645,bolivia,0.7142857142857143,6.0,12.0,0.0,1.0,1.0,0.3333333333333333,0.0
1.645,brazil,0.7258064516129032,9.0,17.0,0.0,1.0,1.0,0.34615384615384615,0.0
1.645,chile,0.0,0.0,24.0,1.0,0.0,0.0,0.0,1.0
1.645,colombia,0.3703703703703704,2.0,17.0,0.0,1.0,1.0,0.10526315789473684,0.0
1.96,argentina,0.8,8.0,6.0,1.0,0.8888888888888888,0.8888888888888888,0.5714285714285714,0.11111111111111116
1.96,bolivia,0.78125,5.0,7.0,0.0,1.0,1.0,0.4166666666666667,0.0
1.96,brazil,0.7777777777777778,7.0,10.0,0.0,1.0,1.0,0.4117647058823529,0.0
1.96,chile,0.0,0.0,19.0,1.0,0.0,0.0,0.0,1.0
1.96,colombia,0.4761904761904762,2.0,11.0,0.0,1.0,1.0,0.15384615384615385,0.0
2.576,argentina,0.8333333333333334,6.0,2.0,1.0,0.8571428571428571,0.8571428571428571,0.75,0.1428571428571429
2.576,bolivia,0.7142857142857143,3.0,6.0,0.0,1.0,1.0,0.3333333333333333,0.0
2.576,brazil,0.6896551724137931,4.0,5.0,1.0,0.8,0.8,0.4444444444444444,0.19999999999999996
2.576,chile,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0
2.576,colombia,0.625,2.0,6.0,0.0,1.0,1.0,0.25,0.0
99.0,argentina,0.0,0.0,0.0,4.0,0.0,0.0,,1.0
99.0,bolivia,0.0,0.0,0.0,1.0,0.0,0.0,,1.0
99.0,brazil,0.0,0.0,0.0,3.0,0.0,0.0,,1.0
99.0,chile,0.0,0.0,0.0,1.0,0.0,0.0,,1.0
99.0,colombia,0.0,0.0,0.0,1.0,0.0,0.0,,1.0
